,ID,E_Brent,PP,BR,AR,WO,NW,opt_C,opt_I,capex_h,opex_h,produc_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
81,81,50,0.5700000000000001,0,1,1,0,1,0,0.9,1,1,0,54819.3253,0,62058.0989,62058.0989,3.0597630119253396,75590.342,0,78454.0177,0.0,5.754323833382085,5.754323833382085,0.0,5.249558584839801,5.249558584839801,2051.0,2051.0,5.0578,5.0578,6.3588,5.801,7773.7884,28020.7231,20579.6794,111193.5162,0,8521.2681,28020.7231,23679.5204,122279.6105,0
82,82,50,0.5700000000000001,0,1,1,0,0,1,0.9,1,1,0,9901.1769,0,11343.4847,11343.4847,2.1864754456463484,19185.6538,0,12314.0184,0.0,1.1426313503655008,1.1426313503655008,0.0,1.0424005301580008,1.0424005301580008,2061.0,2061.0,3.6999,3.6999,8.1278,7.4148,904.7753,7123.22,3613.0938,21542.2659,0,991.773,7123.22,4230.7799,23689.2575,0
83,83,50,0.5700000000000001,0,1,1,0,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,50,0.5700000000000001,0,1,0,1,1,1,0.9,1,1,0,-3813.1619,0,4431.3361,4431.3361,0.0828032405340206,307102.9882,0,635183.9273,0.0,8.305594147193203,8.305594147193203,0.0,7.5770332570885355,7.5770332570885355,2042.0,2042.0,14.8293,14.8293,17.8984,16.3284,38655.3125,92801.3929,2484.1627,132392.8288,2265.1226,42372.1695,92801.3929,3252.8875,145122.9085,2265.1226
85,85,50,0.5700000000000001,0,1,0,1,1,0,0.9,1,1,0,-2270.536,0,1817.7345,1817.7345,0.06510909809111216,145004.5882,0,304551.0105,0.0,3.5615675767518007,3.5615675767518007,0.0,3.2491493682647996,3.2491493682647996,2039.0,2039.0,13.7866,13.7866,19.7079,17.9792,17556.5342,45439.1487,832.0138,63285.4846,1728.3238,19244.6625,45439.1487,1140.7578,69370.6274,1728.3238
86,86,50,0.5700000000000001,0,1,0,1,0,1,0.9,1,1,0,-1131.093,0,3252.1081,3252.1081,0.09603245622851501,162098.4,0,334821.8918,0.0,4.6231952154509,4.6231952154509,0.0,4.217651775499067,4.217651775499067,2043.0,2043.0,14.7042,14.7042,16.9722,15.4834,20148.6399,47362.2442,1048.7447,68307.2697,878.7339,22086.0091,47362.2442,1296.1811,74875.2764,878.7339
87,87,50,0.5700000000000001,0,1,0,1,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,50,0.5700000000000001,1,0,1,0,1,1,0.9,1,1,0,85708.1387,0,100472.3098,100472.3098,2.2876628368531913,144552.5415,0,79338.8021,0.0,8.675785991765718,8.675785991765718,0.0,7.914752132838906,7.914752132838906,2072.0,2072.0,4.5401,4.5401,8.0646,7.3572,13164.2237,59723.9633,29790.7432,188387.069,0,14430.0145,59723.9633,36156.0655,210782.353,0
89,89,50,0.5700000000000001,1,0,1,0,1,0,0.9,1,1,0,58303.9349,0,68375.5921,68375.5921,2.2576664475778006,100167.2636,0,58856.7432,0.0,6.022463305759571,6.022463305759571,0.0,5.494177050868379,5.494177050868379,2057.0,2057.0,4.6099,4.6099,8.051,7.3448,9179.7446,41248.0006,20405.3239,129137.0039,0,10062.4123,41248.0006,24748.6335,144434.6385,0
90,90,50,0.5700000000000001,1,0,1,0,0,1,0.9,1,1,0,27483.0509,0,32176.8918,32176.8918,2.3557758028458426,44385.2778,0,24671.034,0.0,2.6335460661851346,2.6335460661851346,0.0,2.402533253361877,2.402533253361877,2072.0,2072.0,4.0785,4.0785,8.1583,7.4426,3963.4061,18475.9627,9325.8799,59248.2996,0,4344.5029,18475.9627,11348.4219,66345.7793,0
91,91,50,0.5700000000000001,1,0,1,0,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,92,50,0.5700000000000001,1,0,0,1,1,1,0.9,1,1,0,54958.565,0,65753.5273,65753.5273,1.4364265228915787,145966.8301,0,321843.3516,0.0,7.2363829276101015,7.2363829276101015,0.0,6.601612495363602,6.601612495363602,2039.0,2039.0,8.8464,8.8464,9.7641,8.9076,27959.1277,60278.9315,16252.9418,160936.4654,1486.8994,30647.5054,60278.9315,20832.8271,178999.6907,1486.8994
93,93,50,0.5700000000000001,1,0,0,1,1,0,0.9,1,1,0,35137.1409,0,42293.695,42293.695,1.3704591086425713,98295.0374,0,217453.8958,0.0,4.680932609684103,4.680932609684103,0.0,4.270324486027601,4.270324486027601,2039.0,2039.0,8.9797,8.9797,10.1648,9.2732,18345.6608,40388.1031,10022.2252,105024.3964,1131.2665,20109.6666,40388.1031,13056.4074,116979.1387,1131.2665
94,94,50,0.5700000000000001,1,0,0,1,0,1,0.9,1,1,0,19775.2377,0,23417.3746,23417.3746,1.5731938860957564,47671.7927,0,108578.4309,0.0,2.5845308124240005,2.5845308124240005,0.0,2.357817583264001,2.357817583264001,2040.0,2040.0,8.9093,8.9093,8.9285,8.1453,9774.7949,19890.8284,6330.9615,56095.1252,323.3026,10714.679,19890.8284,7875.0249,62221.2097,323.3026
95,95,50,0.5700000000000001,1,0,0,1,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,96,50,0.5700000000000001,0,1,1,0,1,1,0.9,1,1,0,56840.7095,0,64732.7019,64732.7019,2.529412251726859,94775.9959,0,79089.0532,0.0,6.264762045459336,6.264762045459336,0.0,5.7152215151558865,5.7152215151558865,2052.0,2052.0,4.8522,4.8522,7.3231,6.6807,7908.4081,35143.9431,20782.6453,120675.7059,0,8668.8319,35143.9431,24160.9623,132706.4392,0
97,97,50,0.5700000000000001,0,1,1,0,1,0,0.9,1,1,0,48235.6203,0,54816.5936,54816.5936,2.6906945456349773,75590.342,0,71702.6502,0.0,5.231203484892807,5.231203484892807,0.0,4.772325986217997,4.772325986217997,2051.0,2051.0,5.0578,5.0578,6.9946,6.3811,7067.0804,28020.7231,17761.591,101085.0147,0,7746.6073,28020.7231,20579.3583,111163.2823,0
98,98,50,0.5700000000000001,0,1,1,0,0,1,0.9,1,1,0,8587.4811,0,9898.7759,9898.7759,1.8967930521218288,19185.6538,0,11575.3781,0.0,1.038755773059546,1.038755773059546,0.0,0.9476368455981827,0.9476368455981827,2061.0,2061.0,3.6999,3.6999,8.9405,8.1563,822.523,7123.22,3050.654,19583.8781,0,901.6118,7123.22,3612.081,21535.6887,0
99,99,50,0.5700000000000001,0,1,1,0,0,0,0.9,1,1,0,0,0,0,0,0.0,0,0,4188.9751,0.0,0.0,0.0,0.0,0.0,0.0,2021.0,2021.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,100,50,0.5700000000000001,0,1,0,1,1,1,0.9,1,1,0,-14049.9495,0,-6779.6055,-6779.6055,0.0,307102.9882,0,626053.7114,0.0,7.392188354962001,7.392188354962001,0.0,6.743750779965334,6.743750779965334,2041.0,2041.0,15.3001,15.3001,20.11,18.3459,36778.0255,92801.3929,1512.2165,119533.3203,2491.6348,40314.3741,92801.3929,2199.1124,131026.9087,2491.6348
101,101,50,0.5700000000000001,0,1,0,1,1,0,0.9,1,1,0,-7277.9493,0,-3640.5494,-3640.5494,0.0,145004.5882,0,300256.6281,0.0,3.237788706138001,3.237788706138001,0.0,2.9537721529680003,2.9537721529680003,2039.0,2039.0,14.7794,14.7794,21.6787,19.7771,17118.1406,45439.1487,524.5948,57532.2588,1728.3238,18764.1157,45439.1487,773.1678,63064.2067,1728.3238
102,102,50,0.5700000000000001,0,1,0,1,0,1,0.9,1,1,0,-6569.8918,0,-2704.4109,-2704.4109,0.0,162098.4,0,329986.0584,0.0,4.114199544679001,4.114199544679001,0.0,3.753304847777333,3.753304847777333,2042.0,2042.0,15.1957,15.1957,19.0719,17.3989,19184.6433,47362.2442,734.3941,61677.9971,966.6073,21029.3205,47362.2442,954.8126,67608.5737,966.6073
