,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b
66,66,35,2.5,1200,244,0,347013.9137,0,190028.4797,190028.4797,4.326443531247709,316409.8722,0,611665.2321,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.5446,7.5446,3.9028,1.8733
67,67,40,2.5,1200,244,0,347013.9137,0,256081.0371,256081.0371,5.793520736687294,316409.8722,0,611665.2321,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.5446,7.5446,3.9028,1.8733
68,68,45,2.5,1200,244,0,347013.9137,0,322119.4868,322119.4868,7.260597942126871,316409.8722,0,611665.2321,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.5446,7.5446,3.9028,1.8733
69,69,50,2.5,1200,244,0,347013.9137,0,388106.1351,388106.1351,8.72767514756645,316409.8722,0,611665.2321,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.5446,7.5446,3.9028,1.8733
70,70,55,2.5,1200,244,0,347013.9137,0,454092.7834,454092.7834,10.194752353006033,316409.8722,0,611665.2321,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.5446,7.5446,3.9028,1.8733
71,71,60,2.5,1200,244,0,347013.9137,0,520079.4317,520079.4317,11.661829558445616,316409.8722,0,611665.2321,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.5446,7.5446,3.9028,1.8733
72,72,20,2.5,1200,304,0,338874.0147,0,-20465.2178,-20465.2178,0.0,316409.8722,0,645834.3322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.9661,7.9661,3.9028,1.8733
73,73,25,2.5,1200,304,0,338874.0147,0,48757.438,48757.438,1.211499328017478,316409.8722,0,645834.3322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.9661,7.9661,3.9028,1.8733
74,74,30,2.5,1200,304,0,338874.0147,0,115633.6418,115633.6418,2.6785765334570586,316409.8722,0,645834.3322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.9661,7.9661,3.9028,1.8733
75,75,35,2.5,1200,304,0,338874.0147,0,181862.5945,181862.5945,4.145653738896641,316409.8722,0,645834.3322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.9661,7.9661,3.9028,1.8733
76,76,40,2.5,1200,304,0,338874.0147,0,247915.1519,247915.1519,5.612730944336221,316409.8722,0,645834.3322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.9661,7.9661,3.9028,1.8733
77,77,45,2.5,1200,304,0,338874.0147,0,313967.7093,313967.7093,7.079808149775804,316409.8722,0,645834.3322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.9661,7.9661,3.9028,1.8733
78,78,50,2.5,1200,304,0,338874.0147,0,379966.236,379966.236,8.54688535521538,316409.8722,0,645834.3322,0.0,81.07277994166668,81.07277994166668,0.0,81.07277994166668,81.07277994166668,2062.0,2062.0,7.9661,7.9661,3.9028,1.8733
