,ID,E_Brent,Opt_Basica,PP,BR,AR,WO,NW,opt_CE,opt_CN,opt_CS,opt_IC,opt_IN,opt_IS,BE_F,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE
82,82,40,0,0.555,1,0,1,0,1,0,1,1,0,1,22.721578260067627,0,49173.9896,0,0,0,1.2517868537391135e-09,81791.5123,0,13162.5322,0.0,3.648798562874999,3.648798562874999
83,83,40,0,0.555,1,0,1,0,1,0,1,1,0,0,23.086386623490807,0,36778.5166,0,0,0,0.0,63000.3155,0,11518.0423,0.0,2.8048295863875,2.8048295863875
84,84,40,0,0.555,1,0,1,0,1,0,1,0,1,1,22.643421754765484,0,59111.415,0,0,0,0.0,97914.4212,0,14937.777,0.0,4.3775914205875,4.3775914205875
85,85,40,0,0.555,1,0,1,0,1,0,1,0,1,0,22.91358740103777,0,46715.942,0,0,0,0.0,79123.2243,0,13293.2871,0.0,3.5336224441000015,3.5336224441000015
86,86,40,0,0.555,1,0,1,0,1,0,1,0,0,1,22.661093156831175,0,44611.3027,0,0,0,1.197699129562811e-09,73792.104,0,11738.8775,0.0,3.3052451860750005,3.3052451860750005
87,87,40,0,0.555,1,0,1,0,1,0,1,0,0,0,23.056261179093326,0,32215.8297,0,0,0,0.0,55000.9072,0,10094.3877,0.0,2.4612762095875,2.4612762095875
88,88,40,0,0.555,1,0,1,0,1,0,0,1,1,1,22.30859168397032,0,42855.6803,0,0,0,1.4712254070709687e-09,69713.4408,0,8539.925,0.0,3.1069292454375,3.1069292454375
89,89,40,0,0.555,1,0,1,0,1,0,0,1,1,0,22.599960248794083,0,30460.2072,0,0,0,2.3182119174074438e-09,50922.244,0,6895.4352,0.0,2.2629602689500006,2.2629602689500006
90,90,40,0,0.555,1,0,1,0,1,0,0,1,0,1,22.162324432765256,0,28355.568,0,0,0,1.486718801910342e-09,45591.1237,0,5341.0256,0.0,2.034583010925,2.034583010925
91,91,40,0,0.555,1,0,1,0,1,0,0,1,0,0,22.609908819809977,0,15960.095,0,0,0,0.0,26799.9268,0,3696.5357,0.0,1.1906140344374998,1.1906140344374998
92,92,40,0,0.555,1,0,1,0,1,0,0,0,1,1,22.18517884643754,0,38292.9934,0,0,0,1.7600115258307208e-09,61714.0325,0,7116.2704,0.0,2.763375868637501,2.763375868637501
93,93,40,0,0.555,1,0,1,0,1,0,0,0,1,0,22.473460912605624,0,25897.5204,0,0,0,0.0,42922.8357,0,5471.7806,0.0,1.9194068921499998,1.9194068921499998
94,94,40,0,0.555,1,0,1,0,1,0,0,0,0,1,21.93176982482347,0,23792.8811,0,0,0,0.0,37591.7153,0,3917.371,0.0,1.691029634125,1.691029634125
95,95,40,0,0.555,1,0,1,0,1,0,0,0,0,0,22.326412076303985,0,11397.4081,0,0,0,5.5970191464503305e-09,18800.5185,0,2272.8811,0.0,0.8470606576374999,0.8470606576374999
96,96,40,0,0.555,1,0,1,0,0,1,1,1,1,1,22.961022538038247,0,67728.0051,0,0,0,5.519025414383499e-10,115180.9388,0,18796.8352,0.0,5.0999312049625,5.0999312049625
97,97,40,0,0.555,1,0,1,0,0,1,1,1,1,0,23.25152185990802,0,55332.5321,0,0,0,0.0,96389.742,0,17152.3453,0.0,4.255962228475001,4.255962228475001
98,98,40,0,0.555,1,0,1,0,0,1,1,1,0,1,23.060573620632468,0,53227.8929,0,0,0,1.1634197837131016e-09,91058.6217,0,15597.9357,0.0,4.02758497045,4.02758497045
99,99,40,0,0.555,1,0,1,0,0,1,1,1,0,0,23.477688316093758,0,40832.4199,0,0,0,0.0,72267.4248,0,13953.4459,0.0,3.183615993962499,3.183615993962499
100,100,40,0,0.555,1,0,1,0,0,1,1,0,1,1,22.936310793752995,0,63165.3183,0,0,0,6.040559759828191e-10,107181.5305,0,17373.1806,0.0,4.7563778281625,4.7563778281625
101,101,40,0,0.555,1,0,1,0,0,1,1,0,1,0,23.247319309179606,0,50769.8453,0,0,0,0.0,88390.3337,0,15728.6907,0.0,3.9124088516749995,3.9124088516749995
102,102,40,0,0.555,1,0,1,0,0,1,1,0,0,1,23.038051836105442,0,48665.206,0,0,0,1.2942645036841533e-09,83059.2133,0,14174.2811,0.0,3.684031593650001,3.684031593650001
103,103,40,0,0.555,1,0,1,0,0,1,1,0,0,0,23.49993176246906,0,36269.733,0,0,0,1.8187788003247687e-09,64268.0165,0,12529.7913,0.0,2.8400626171624994,2.8400626171624994
104,104,40,0,0.555,1,0,1,0,0,1,0,1,1,1,22.740834451286542,0,46909.5835,0,0,0,1.3096063631795457e-09,78980.5501,0,10975.3286,0.0,3.485715653012501,3.485715653012501
105,105,40,0,0.555,1,0,1,0,0,1,0,1,1,0,23.13586838068992,0,34514.1105,0,0,0,1.5930408641996843e-09,60189.3533,0,9330.8388,0.0,2.6417466765249995,2.6417466765249995
106,106,40,0,0.555,1,0,1,0,0,1,0,1,0,1,22.80842421231066,0,32409.4713,0,0,0,1.2158379090658794e-09,54858.233,0,7776.4292,0.0,2.4133694185,2.4133694185
