,ID,D,E_Brent,Water_Injected_opex,Opt_ActivacionBasica_a_ab,Opt_Activacion_e1,Opt_Activacion_e2,Opt_Activacion_e3,Opt_Activacion_e4,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,Volumenes
171,171,1,20,0.345,0,0,1,0,0,0,-2213.6404,0,-117626.5406,-117626.5406,0.0,370746.688,209877.2954,861954.9519,26.87694643199999
172,172,1,25,0.345,0,0,1,0,0,0,-2213.6404,0,-100442.1853,-100442.1853,0.0,370746.688,209877.2954,861954.9519,26.87694643199999
173,173,1,30,0.345,0,0,1,0,0,0,-2213.6404,0,-82394.6155,-82394.6155,0.0,370746.688,209877.2954,861954.9519,26.87694643199999
174,174,1,35,0.345,0,0,1,0,0,0,-2213.6404,0,-63566.7573,-63566.7573,0.0,370746.688,209877.2954,861954.9519,26.87694643199999
175,175,1,40,0.345,0,0,1,0,0,0,-2213.6404,0,-44324.6674,-44324.6674,0.0,370746.688,209877.2954,861954.9519,26.87694643199999
176,176,1,45,0.345,0,0,1,0,0,0,-2213.6404,0,-24811.7943,-24811.7943,0.0,370746.688,209877.2954,861954.9519,26.87694643199999
177,177,1,50,0.345,0,0,1,0,0,0,-2213.6404,0,-5277.1746,-5277.1746,0.0,370746.688,209877.2954,861954.9519,26.87694643199999
178,178,1,55,0.345,0,0,1,0,0,0,-2213.6404,0,14615.8341,14615.8341,0.1230216577147974,370746.688,209877.2954,861954.9519,26.87694643199999
179,179,1,60,0.345,0,0,1,0,0,0,-2213.6404,0,34449.1559,34449.1559,0.2899589746986002,370746.688,209877.2954,861954.9519,26.87694643199999
180,180,1,20,0.06,0,0,1,0,1,0,-35124.5492,0,-157563.83,-157563.83,0.0,1017351.0014,209877.2954,1382263.935,59.774566352
